ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions_Cloudy,Weather_conditions_Sunny,Weather_conditions_Windy,Weather_conditions_Stormy,Weather_conditions_Fog,Weather_conditions_Sandstorms,Weather_conditions_NaN,Road_traffic_density_Low,Road_traffic_density_Medium,Road_traffic_density_Jam,Road_traffic_density_High,Road_traffic_density_NaN,Vehicle_condition,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Type_of_vehicle_electric_scooter,Type_of_vehicle_bicycle,multiple_deliveries,Festival_No,Festival_Yes,Festival_NaN
0x9fad,12.334022,76.618203,12.444022,76.728203,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0xd7e1,19.880256,75.323503,19.970256,75.413503,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.000000,1,0,0
0xe134,30.895204,75.822103,30.985204,75.912103,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x638,-0.00,0.00,0.07,0.07,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1.00,1,0,0
0x8898,22.651847,75.881991,22.781847,76.011991,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0x4c14,23.359407,85.325055,23.469407,85.435055,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xd9af,0.00,0.00,0.09,0.09,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.00,0,1,0
0x33e5,12.308500,76.665808,12.438500,76.795808,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1.000000,1,0,0
0xce78,30.366322,78.070453,30.446322,78.150453,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x8910,17.459710,78.368855,17.499710,78.408855,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x6541,21.175975,72.795503,21.255975,72.875503,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0.000000,1,0,0
0x145c,17.433809,78.386744,17.463809,78.416744,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000000,1,0,0
0x51ac,26.913483,75.803139,27.053483,75.943139,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.000000,1,0,0
0x6dc0,22.750040,75.902847,22.880040,76.032847,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1.000000,1,0,0
0x6f4,12.325461,76.632278,12.345461,76.652278,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0.000000,1,0,0
0x7e76,21.170798,72.790489,21.180798,72.800489,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x4c0a,23.416792,85.316842,23.436792,85.336842,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,1,0,0
0xb7f8,0.00,0.00,0.05,0.05,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.00,1,0,0
0x9f1d,13.022394,80.242439,13.152394,80.372439,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xaeb4,26.913987,75.752891,26.993987,75.832891,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3.000000,1,0,0
0xe06f,30.890184,75.829615,30.980184,75.919615,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x4d72,23.399250,85.390464,23.509250,85.500464,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1.000000,1,0,0
0x9792,18.546947,73.900626,18.596947,73.950626,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x323c,19.091458,72.827808,19.131458,72.867808,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xb02,22.74806,75.89340,22.87806,76.02340,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.00000,1,0,0
0x677,12.939496,77.625999,13.029496,77.715999,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x3dac,21.183434,72.814492,21.213434,72.844492,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.000000,1,0,0
0x2f10,22.753659,75.903365,22.823659,75.973365,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0.000000,1,0,0
0x32ee,26.910262,75.783013,27.020262,75.893013,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xddef,25.450329,81.834279,25.580329,81.964279,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0x2715,22.753659,75.903365,22.833659,75.983365,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0.000000,1,0,0
0xdbd8,0.00,0.00,0.02,0.02,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1.00,1,0,0
0xb423,26.956431,75.776649,26.986431,75.806649,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x111e,22.732225,75.874765,22.742225,75.884765,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x745,22.310237,73.158921,22.320237,73.168921,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,1.000000,1,0,0
0x6b2c,12.975377,77.696664,13.055377,77.776664,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1.000000,1,0,0
0x749f,19.254567,72.848923,19.294567,72.888923,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x624b,26.846156,75.802300,26.876156,75.832300,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.000000,1,0,0
0x46f2,23.359194,85.325447,23.449194,85.415447,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xad4a,22.308096,73.167753,22.368096,73.227753,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0.000000,1,0,0
0x74d7,0.00,0.00,0.08,0.08,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1.00,1,0,0
0xa2a5,26.911378,75.789034,26.921378,75.799034,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1.000000,1,0,0
0xac7a,23.354422,85.332900,23.424422,85.402900,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NaN,1,0,0
0x2c2f,21.183434,72.814492,21.263434,72.894492,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xd74a,9.988483,76.295211,10.028483,76.335211,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2.000000,1,0,0
0x1cfc,17.431668,78.408321,17.471668,78.448321,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.000000,1,0,0
0x738d,0.00,0.00,0.01,0.01,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.00,1,0,0
0x895c,19.003517,72.827650,19.053517,72.877650,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x45e1,12.913041,77.683237,12.963041,77.733237,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.000000,1,0,0
0x487a,23.359194,85.325447,23.469194,85.435447,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0.000000,1,0,0
0x30bd,19.003517,72.827650,19.093517,72.917650,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0xcb0a,9.960846,76.293936,9.970846,76.303936,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.000000,1,0,0
0x4659,26.913726,75.752820,26.983726,75.822820,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.000000,1,0,0
0x1d71,12.934179,77.615797,13.014179,77.695797,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.000000,1,0,0
0x4aab,21.186608,72.794136,21.226608,72.834136,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0.000000,1,0,0
0xbbb4,12.935662,77.614130,12.965662,77.644130,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0x5f06,21.185047,72.808590,21.205047,72.828590,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xde8a,30.346994,78.062543,30.396994,78.112543,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x3a99,12.321214,76.621094,12.371214,76.671094,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.000000,1,0,0
0xaad0,22.307898,73.167788,22.337898,73.197788,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.000000,1,0,0
0x6361,12.308500,76.665808,12.418500,76.775808,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0xdc18,30.893384,75.821202,31.023384,75.951202,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.000000,1,0,0
0x2050,26.888420,75.800689,26.978420,75.890689,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.000000,1,0,0
0x96a,12.352058,76.606650,12.382058,76.636650,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.000000,1,0,0
0x65bd,11.026117,76.944652,11.106117,77.024652,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0x8049,17.483216,78.552111,17.613216,78.682111,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0x3aa6,21.149569,72.772697,21.189569,72.812697,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.000000,1,0,0
0x55fb,22.728163,75.884212,22.778163,75.934212,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xb23,22.308096,73.167753,22.328096,73.187753,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0.000000,1,0,0
0x5f65,12.975377,77.696664,13.045377,77.766664,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0xd59e,10.027014,76.308053,10.137014,76.418053,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x393f,12.325461,76.632278,12.435461,76.742278,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x5dfb,13.026279,80.174568,13.136279,80.284568,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x8773,12.334022,76.618203,12.384022,76.668203,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x306c,0.00,0.00,0.02,0.02,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.00,1,0,0
0x7706,23.333017,85.317200,23.383017,85.367200,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1.000000,1,0,0
0x435a,17.426228,78.407495,17.516228,78.497495,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000000,1,0,0
0x2352,21.173343,72.792731,21.303343,72.922731,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.000000,1,0,0
0xaadc,23.416792,85.316842,23.506792,85.406842,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0.000000,1,0,0
0x91d2,18.520016,73.830547,18.530016,73.840547,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x1ff4,22.727021,75.884167,22.767021,75.924167,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1.000000,1,0,0
0xdc87,23.234249,77.434007,23.324249,77.524007,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x673,12.933284,77.615428,12.943284,77.625428,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0.000000,1,0,0
0x6bd7,21.183434,72.814492,21.293434,72.924492,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1.000000,1,0,0
0x970f,11.016298,76.972076,11.086298,77.042076,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x4aee,26.910262,75.783013,26.960262,75.833013,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1.000000,1,0,0
0xcd17,26.492106,80.327797,26.582106,80.417797,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xb850,18.533811,73.899315,18.593811,73.959315,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1.000000,1,0,0
0x49c7,22.312790,73.170283,22.332790,73.190283,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,0,1,0
0x8041,13.026286,80.275235,13.076286,80.325235,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.000000,1,0,0
0xc603,30.319528,78.040267,30.389528,78.110267,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000000,1,0,0
0x577,0.00,0.00,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,1.00,1,0,0
0x115e,0.00,0.00,0.01,0.01,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1.00,1,0,0
0xae2f,23.416792,85.316842,23.446792,85.346842,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1.000000,1,0,0
0x8f1c,18.554382,73.798206,18.664382,73.908206,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0.000000,1,0,0
0xdab8,0.00,0.00,0.02,0.02,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1.00,1,0,0
0xd73f,0.00,0.00,0.08,0.08,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1.00,1,0,0
0x16f7,18.994049,72.825203,19.044049,72.875203,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xc1f5,0.00,0.00,0.11,0.11,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1.00,1,0,0
0xabc7,12.970221,77.645396,13.030221,77.705396,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x6ed0,13.044694,80.261470,13.104694,80.321470,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0.000000,1,0,0
0x158f,19.207222,72.972281,19.317222,73.082281,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0xa628,19.126630,72.829976,19.216630,72.919976,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xced5,23.234631,77.401663,23.254631,77.421663,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x89e6,12.913041,77.683237,12.923041,77.693237,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.000000,1,0,0
0x1fe7,17.450851,78.379347,17.510851,78.439347,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0xca3e,27.201725,78.007553,27.261725,78.067553,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0.000000,1,0,0
0xe121,30.873988,75.842739,30.903988,75.872739,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0xd781,0.00,0.00,0.03,0.03,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.00,1,0,0
0x32cd,19.176269,72.836721,19.216269,72.876721,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.000000,1,0,0
0xa31a,26.846156,75.802300,26.896156,75.852300,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0x3072,19.181300,72.836191,19.241300,72.896191,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0x848c,18.563934,73.915367,18.623935,73.975367,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2.000000,1,0,0
0xc7c5,26.492106,80.327797,26.532106,80.367797,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.000000,1,0,0
0x3d10,26.905190,75.810753,26.975190,75.880753,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0x1508,22.760072,75.892574,22.870072,76.002574,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0x3f7f,12.934365,77.616155,12.964365,77.646155,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000000,1,0,0
0x3268,12.297954,76.665169,12.427954,76.795169,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1.000000,1,0,0
0x3478,0.00,0.00,0.04,0.04,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0.00,1,0,0
0x2f92,21.173343,72.792731,21.213343,72.832731,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1.000000,1,0,0
0x5a75,12.981615,80.231598,13.061615,80.311598,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.000000,0,1,0
0x2905,11.010375,76.952950,11.050375,76.992950,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1.000000,1,0,0
0x9134,0.00,0.00,0.08,0.08,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.00,1,0,0
0x9ee7,22.732225,75.874765,22.842225,75.984765,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.000000,1,0,0
0xa4ea,11.003681,76.975525,11.113681,77.085525,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0.000000,1,0,0
0x21ad,22.722634,75.886959,22.762634,75.926959,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x9d62,11.016298,76.972076,11.026298,76.982076,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1.000000,1,0,0
0xada5,23.374878,85.335739,23.504878,85.465739,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0.000000,1,0,0
0x5323,18.551440,73.804855,18.561440,73.814855,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1.000000,1,0,0
0xd8c7,0.00,0.00,0.09,0.09,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1.00,1,0,0
0x81c3,23.359033,85.325347,23.409033,85.375347,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xaa88,26.913726,75.752820,26.973726,75.812821,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0xc333,0.00,0.00,0.01,0.01,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1.00,1,0,0
0xc88a,0.00,0.00,0.02,0.02,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.00,1,0,0
0xd47b,0.00,0.00,0.05,0.05,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1.00,1,0,0
0xa038,26.911927,75.797282,26.951927,75.837282,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,1,0,0
0x738c,22.311358,73.164798,22.421358,73.274798,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.000000,0,1,0
0xab87,12.972532,77.608179,13.012532,77.648179,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0.000000,1,0,0
0x33c9,12.352058,76.606650,12.442058,76.696650,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.000000,1,0,0
0xd12e,9.991703,76.293136,10.011703,76.313136,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x4cf2,17.455894,78.375467,17.495894,78.415467,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.000000,1,0,0
0x1802,0.00,0.00,0.09,0.09,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.00,1,0,0
0x480e,22.751234,75.889490,22.881234,76.019490,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.000000,0,1,0
0x3c67,13.044694,80.261470,13.174694,80.391470,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1.000000,1,0,0
0xa3ee,0.00,0.00,0.11,0.11,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1.00,1,0,0
0x369d,12.970324,77.645748,13.040324,77.715748,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x65a8,22.695207,75.866059,22.765207,75.936059,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.000000,1,0,0
0x486d,12.975377,77.696664,13.015377,77.736664,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.000000,1,0,0
0x384d,18.551440,73.804855,18.601440,73.854855,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1.000000,1,0,0
0xc42a,23.233219,77.433571,23.323219,77.523571,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3.000000,1,0,0
0x1ae1,12.304569,76.643622,12.374569,76.713622,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1.000000,1,0,0
0x6663,11.022477,76.995667,11.062477,77.035667,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.000000,1,0,0
0xd3bf,26.490950,80.318656,26.630950,80.458656,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2.000000,1,0,0
0x1847,12.979096,77.640625,13.039096,77.700625,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.000000,1,0,0
0x28f0,23.359194,85.325447,23.469194,85.435447,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.000000,1,0,0
0xdb3d,0.00,0.00,0.08,0.08,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.00,1,0,0
0x1ccd,26.846156,75.802300,26.926156,75.882300,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0.000000,1,0,0
0x34dc,17.412330,78.449654,17.462330,78.499654,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1.000000,1,0,0
0x3248,12.326356,76.619103,12.456356,76.749103,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.000000,1,0,0
0x40e2,21.185047,72.808590,21.295047,72.918590,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0.000000,1,0,0
0x82d6,17.433809,78.386744,17.453809,78.406744,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1.000000,1,0,0
